8 4 3 1 
1 0 0 0 0 
1 0 1 1 0 
1 0 2 2 0 
1 0 3 3 0 
1 0 4 4 0 
1 0 5 5 0 
1 0 6 6 0 
1 0 7 7 0 
1 0 8 0 -1 
1 0 9 1 -1 
1 0 10 2 -1 
1 0 11 3 -1 
1 0 12 4 -1 
1 0 13 5 -1 
1 0 14 6 -1 
1 0 15 7 -1 
1 0 16 0 -2 
1 0 17 1 -2 
1 0 18 2 -2 
1 0 19 3 -2 
1 0 20 4 -2 
1 0 21 5 -2 
1 0 22 6 -2 
1 0 23 7 -2 
1 0 24 0 -3 
1 0 25 1 -3 
1 0 26 2 -3 
1 0 27 3 -3 
7 0 28 4 -3 
1 0 29 5 -3 
1 0 30 6 -3 
1 0 31 7 -3 
1 0 32 0 -4 
1 0 33 1 -4 
1 0 34 2 -4 
1 0 35 3 -4 
1 0 36 4 -4 
1 0 37 5 -4 
1 0 38 6 -4 
1 0 39 7 -4 
1 0 40 0 -5 
1 0 41 1 -5 
1 0 42 2 -5 
1 0 43 3 -5 
1 0 44 4 -5 
1 0 45 5 -5 
1 0 46 6 -5 
1 0 47 7 -5 
1 0 48 0 -6 
1 0 49 1 -6 
1 0 50 2 -6 
1 0 51 3 -6 
1 0 52 4 -6 
1 0 53 5 -6 
1 0 54 6 -6 
1 0 55 7 -6 
1 0 56 0 -7 
1 0 57 1 -7 
1 0 58 2 -7 
1 0 59 3 -7 
1 0 60 4 -7 
1 0 61 5 -7 
1 0 62 6 -7 
8 0 63 7 -7 
